Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,French,English
0,0,0,partie,part
1,1,1,histoire,history
2,2,2,chercher,search
3,3,3,seulement,only
4,4,4,police,police
5,5,5,pensais,thought
6,6,6,aide,help
7,7,7,demande,request
9,9,9,mois,month
10,10,10,frère,brother
11,11,11,laisser,let
12,12,12,car,because
13,13,13,mettre,to put
14,14,14,aucun,no
15,15,15,laisse,leash
16,16,16,eux,them
17,17,17,ville,city
18,18,18,chaque,each
19,19,19,parlé,speak
20,21,21,devrait,should
21,22,22,bébé,baby
22,23,23,longtemps,long time
23,24,24,heures,hours
24,25,25,vont,will
25,26,26,pendant,while
26,27,27,revoir,meet again
27,28,28,aucune,any
28,29,29,place,square
29,30,30,parle,speak
30,31,31,compris,understood
31,32,32,savais,knew
32,33,33,étaient,were
33,34,34,attention,Warning
34,35,35,voici,here is
35,36,36,pourrais,could
36,37,37,affaire,case
38,39,39,type,type
39,40,40,leurs,their
40,41,41,donné,given
41,42,42,train,train
42,43,43,corps,body
43,44,44,endroit,place
44,45,46,façon,way
45,47,48,dont,whose
46,48,49,trouve,find
47,49,50,premier,first
48,50,51,perdu,lost
49,51,52,main,hand
50,52,53,première,first
51,53,54,côté,side
52,54,55,pouvoir,power
53,55,56,vieux,old
54,56,57,sois,be
55,57,58,tiens,here
56,58,59,matin,morning
57,59,60,tellement,so much
58,60,61,enfant,child
59,61,62,point,point
60,62,63,venu,came
61,63,64,suite,after
62,64,65,pardon,sorry
64,66,67,devant,in front of
65,67,68,vers,towards
66,68,69,minutes,minutes
67,69,70,demandé,request
68,70,71,chambre,bedroom
69,71,72,mis,placed
70,72,73,belle,beautiful
71,73,74,droit,law
72,74,75,aimerais,would like to
73,75,76,aujourd'hui,today
74,76,77,mari,husband
75,77,78,cause,cause
76,78,79,enfin,finally
77,79,80,espère,hope
78,80,81,attendez,Wait
79,81,82,parti,left
80,82,83,nouvelle,new
81,83,84,boulot,job
82,84,85,arrêter,Stop
83,85,86,dirait,would say
84,86,87,terre,Earth
85,87,88,compte,account
86,88,89,donne,given
87,89,90,loin,far
88,90,91,fin,end
89,91,92,croire,believe
90,92,93,chérie,sweetheart
91,93,94,gros,large
92,94,95,plutôt,rather
93,95,96,aura,will have
94,96,97,filles,girls
95,97,98,jouer,to play
96,98,99,bureau,office
